MEL code,Library code,bit sequence
286,2109,1010000011111010
287,2110,1010000011111100
288,2112,1010000100001000
289,2115,1010000100001110
290,2117,1010000100011010
291,2118,1010000100011100
292,2121,1010000100101010
293,2122,1010000100101100
294,2124,1010000100111000
295,2127,1010000100111110
296,2129,1010000101001010
297,2130,1010000101001100
298,2132,1010000101011000
299,2135,1010000101011110
300,2136,1010000101101000
301,2139,1010000101101110
302,2141,1010000101111010
303,2142,1010000101111100
304,2145,1010000110001010
305,2146,1010000110001100
306,2148,1010000110011000
307,2151,1010000110011110
308,2152,1010000110101000
309,2155,1010000110101110
310,2157,1010000110111010
311,2158,1010000110111100
312,2160,1010000111001000
313,2163,1010000111001110
314,2165,1010000111011010
315,2166,1010000111011100
316,2169,1010000111101010
317,2170,1010000111101100
318,2172,1010000111111000
319,2175,1010000111111110
320,2176,1010001000001000
321,2179,1010001000001110
322,2181,1010001000011010
323,2182,1010001000011100
324,2185,1010001000101010
325,2186,1010001000101100
326,2188,1010001000111000
327,2191,1010001000111110
328,2193,1010001001001010
329,2194,1010001001001100
330,2196,1010001001011000
331,2199,1010001001011110
332,2200,1010001001101000
333,2203,1010001001101110
334,2205,1010001001111010
335,2206,1010001001111100
336,2209,1010001010001010
337,2210,1010001010001100
338,2212,1010001010011000
339,2215,1010001010011110
340,2216,1010001010101000
341,2219,1010001010101110
342,2221,1010001010111010
343,2222,1010001010111100
344,2224,1010001011001000
345,2227,1010001011001110
346,2229,1010001011011010
347,2230,1010001011011100
348,2233,1010001011101010
349,2234,1010001011101100
350,2236,1010001011111000
351,2239,1010001011111110
352,2241,1010001100001010
353,2242,1010001100001100
354,2244,1010001100011000
355,2247,1010001100011110
356,2248,1010001100101000
357,2251,1010001100101110
358,2253,1010001100111010
359,2254,1010001100111100
360,2256,1010001101001000
361,2259,1010001101001110
362,2261,1010001101011010
363,2262,1010001101011100
364,2265,1010001101101010
365,2266,1010001101101100
366,2268,1010001101111000
367,2271,1010001101111110
368,2272,1010001110001000
369,2275,1010001110001110
370,2277,1010001110011010
371,2278,1010001110011100
372,2281,1010001110101010
373,2282,1010001110101100
